cluster,country,question,answer
1,Algeria,Who scored Algeria's early goal in the 2019 AFCON final?,Baghdad Bounedjah
1,Algeria,Who scored Algeria's winning goal against Senegal in the 2019 AFCON final?,Baghdad Bounedjah
1,Algeria,Who scored Algeria's winning goal in the 2019 AFCON final?,Baghdad Bounedjah
2,Algeria,Which team did Algeria beat in the 2019 AFCON final?,Senegal
2,Algeria,Which team did Algeria defeat in the 2019 AFCON final?,Senegal
3,Algeria,"In a 2019 AFCON final scenario, which Algerian player scored the opening goal?",Baghdad Bounedjah
3,Algeria,Which Algeria attacker scored the winner in the 2019 AFCON final?,Baghdad Bounedjah
3,Algeria,Which Algeria player scored the decisive goal in the 2019 AFCON final?,Baghdad Bounedjah
3,Algeria,Which Algeria player scored the earliest goal in the 2019 AFCON final?,Baghdad Bounedjah
3,Algeria,Which Algeria player scored the early goal in the 2019 AFCON final?,Baghdad Bounedjah
3,Algeria,Which Algeria player scored the opening goal in the 2019 AFCON final?,Baghdad Bounedjah
3,Algeria,Which Algeria player scored the winner against Senegal in the 2019 AFCON final?,Baghdad Bounedjah
3,Algeria,Which Algeria player scored the winning goal in the 2019 AFCON final?,Baghdad Bounedjah
3,Algeria,Which Algerian player scored first in the 2019 AFCON final?,Baghdad Bounedjah
3,Algeria,Which Algerian player scored the 2019 AFCON final winner against Senegal?,Baghdad Bounedjah
3,Algeria,Which Algerian player scored the earliest goal in the 2019 AFCON final?,Baghdad Bounedjah
3,Algeria,Which Algerian player scored the early goal in the 2019 AFCON final?,Baghdad Bounedjah
3,Algeria,Which Algerian player scored the opening goal in the 2019 AFCON final?,Baghdad Bounedjah
3,Algeria,Which Algerian player scored the winner in the 2019 AFCON final?,Baghdad Bounedjah
3,Algeria,Which Algerian player scored the winning goal in the 2019 AFCON final?,Baghdad Bounedjah
3,Algeria,Which Algerian star scored the winning goal in the 2019 AFCON final?,Baghdad Bounedjah
3,Algeria,Which Algerian striker scored the winner in the 2019 AFCON final?,Baghdad Bounedjah
3,Algeria,Which Algerian striker scored the winning goal in the 2019 AFCON final?,Baghdad Bounedjah
3,Algeria,Which Algeria player scored the first goal in the 2019 AFCON final?,Baghdad Bounedjah
3,Algeria,Which Algeria player scored the only goal in the 2019 AFCON final?,Baghdad Bounedjah
3,Algeria,Which Algerian attacker scored the winner in the 2019 AFCON final?,Baghdad Bounedjah
3,Algeria,Which Algerian player scored the first goal in the 2019 AFCON final?,Baghdad Bounedjah
3,Algeria,Which Algerian player scored the winner against Senegal in the 2019 AFCON final?,Baghdad Bounedjah
4,Algeria,Which Algeria manager led them at the 2014 World Cup?,Vahid Halilhodžić
4,Algeria,Which manager coached Algeria at the 2014 FIFA World Cup?,Vahid Halilhodžić
4,Algeria,Which manager coached the Algeria national team at the 2014 FIFA World Cup?,Vahid Halilhodžić
4,Algeria,Which manager guided Algeria at the 2014 FIFA World Cup?,Vahid Halilhodžić
