category_id,country,question,answer,options,difficulty,explanation
12,Jamaica,"A 2026 World Cup qualifier at Jamaica's primary venue, Independence Park, has a capacity of what approximate figure?","35,000","[""25,000"", ""45,000"", ""55,000""]",medium,"Independence Park in Kingston, Jamaica's primary venue, has a capacity of approximately 35,000."
12,Jordan,"After 2014, which two World Cups did Jordan fail to qualify for?",2018 and 2022,"[""2010 and 2014"", ""2010 and 2022"", ""2014 and 2026""]",medium,The verified data states Jordan failed to qualify for the 2018 and 2022 FIFA World Cups.
12,Netherlands,"After Ajax won the 2018-19 domestic double, which two clubs signed their key players?",Barcelona and Juventus,"[""Real Madrid and Bayern Munich"", ""Manchester City and PSG"", ""Chelsea and Manchester United""]",easy,Ajax's key players departed to Barcelona and Juventus after their 2018-19 domestic double.
12,Australia,"After Australia's 2022 World Cup, what did their squad undergo?",Significant generational change,"[""A major tactical shift"", ""A complete coaching overhaul"", ""A sponsorship rebranding""]",easy,The verified data states Australia's squad has undergone significant generational change since the 2022 World Cup.
12,Belgium,"After Belgium's 2022 World Cup exit, which two Belgian clubs challenged Club Brugge's domestic dominance?",Royal Antwerp & Union,"[""Royal Antwerp & Union Saint-Gilloise"", ""Anderlecht & Genk"", ""Standard Li\u00e8ge & Gent"", ""KRC Mechelen & Beerschot""]",easy,Royal Antwerp and Union Saint-Gilloise have emerged as competitive forces in the Belgian Pro League.
12,Côte d'Ivoire,"After Côte d'Ivoire's 2023 AFCON group stage, why were they the host nation?",They were awarded hosting,"[""They were awarded hosting rights"", ""They won qualification playoffs"", ""They received automatic qualification"", ""They replaced disqualified nation""]",medium,Côte d'Ivoire was selected by CAF to host the 2023 tournament.
12,Croatia,"After Croatia's 2018 World Cup final, where were emotional celebrations?",Across Croatia,"[""In Zagreb only"", ""In Moscow only"", ""Across Europe""]",easy,The verified fact states there were emotional celebrations across Croatia.
12,France,"After Euro 2024, which five leagues did France's 2022 World Cup squad players represent?","France, Spain, England, Germany,","[""France, Spain, England, Germany, Italy"", ""France,  Spain,  England, Portugal, Italy"", ""France,, England, Germany, Netherlands"", ""France, Spain, England, Germany, Portugal""]",easy,"France's 2022 World Cup squad featured players from clubs in France, Spain, England, Germany, and Italy."
12,Ghana,"After failing to qualify for the 2018 FIFA World Cup, which tournament did Ghana reach next?",2022 FIFA World Cup,"[""2014 FIFA World Cup"", ""2010 FIFA World Cup"", ""2026 FIFA World Cup""]",hard,"Ghana's next World Cup appearance after missing 2018 was in 2022, as per the verified qualification data."
12,USA,After failing to qualify for which FIFA World Cup did US Soccer restructure?,2018 World Cup,"[""2014 World Cup"", ""2022 World Cup"", ""2010 World Cup""]",medium,The US Soccer restructuring was a direct result of failing to qualify for the 2018 FIFA World Cup.
12,France,"After France's 2010 squad mutiny, what was their lowest FIFA ranking?",25th,"[""18th"", ""12th"", ""30th""]",medium,The verified data states France were ranked as low as 25th in 2010.
12,Paraguay,"After Gerardo Martino in 2011, how many managers have led Paraguay's World Cup campaigns?",Multiple managers,"[""One manager"", ""Two managers"", ""Three managers""]",medium,"The verified data states that multiple managers have followed Gerardo Martino, reflecting instability."
12,Paraguay,"After Gerardo Martino left, Paraguay's managerial instability began after which World Cup?",2010 World Cup,"[""2006 World Cup"", ""2014 World Cup"", ""2018 World Cup""]",medium,"The reference data states that multiple managers followed Gerardo Martino, who managed Paraguay at the 2010 World Cup."
12,Paraguay,"After Gerardo Martino, what characterized Paraguay's 2014 World Cup cycle?",Multiple managerial changes,"[""One long-term manager"", ""A single caretaker"", ""A player-manager""]",easy,"The reference data states multiple managers followed Martino, reflecting instability."
12,Paraguay,"After Gerardo Martino's 2010 World Cup exit, Paraguay's managerial changes reflected what?",Instability,"[""Continuity"", ""Innovation"", ""Stagnation""]",easy,"The reference data states that multiple managers have followed Martino, reflecting instability."
12,Germany,"After Germany's 2018 World Cup group stage exit, when did Löw drop Müller, Hummels, and Boateng?",After the 2018 World,"[""After the 2018 World Cup"", ""After the 2014 World Cup"", ""After Euro 2016"", ""After the 2022 World Cup""]",hard,Joachim Löw controversially dropped the three players from the Germany squad following the team's group-stage exit at the 2018 FIFA World Cup.
12,Iran,"After Iran beat Japan in the 2023 Asian Cup semi-final, who did they lose to?",Qatar,"[""South Korea"", ""Saudi Arabia"", ""Australia""]",easy,The verified fact states Iran lost to Qatar in the final after beating Japan in the semi-final.
12,Brazil,"After its 2014 renovation, Brazil's Maracanã first hosted a World Cup qualifier in which year?",2022,"[""2018"", ""2016"", ""2020""]",medium,"The Maracanã was used for 2022 World Cup qualifiers, as per the verified data."
12,Mexico,"After Mexico's 2018 CONCACAF qualification, which player's goals were crucial compared to 2014?",Raúl Jiménez and Hirving,"[""Ra\u00fal Jim\u00e9nez and Hirving Lozano"", ""Javier Hern\u00e1ndez and Andr\u00e9s Guardado"", ""Carlos Vela and H\u00e9ctor Herrera"", ""Oribe Peralta and Giovani dos Santos""]",medium,The reference data lists Jiménez and Lozano as key scorers in recent qualifying campaigns.
12,France,"After the 2010 World Cup, why did France fall to 25th in FIFA's rankings?",Squad mutiny in South,"[""Squad mutiny in South Africa"", ""Group stage elimination"", ""Coaching change after tournament"", ""Losing key players to injury""]",easy,France's ranking dropped to 25th in 2010 as a direct result of the squad mutiny during the World Cup.
