Row,Country,Difficulty,Question,Answer,Options,Failed,Why it failed,Remedy
34328,Jamaica,medium,"A 2026 World Cup qualifier at Jamaica's primary venue, Independence Park, has a capacity of what approximate figure?","35,000","35,000 | 25,000 | 45,000 | 55,000",,,Rectified programmatically
36398,Jordan,medium,"After 2014, which two World Cups did Jordan fail to qualify for?",2018 and 2022,2018 and 2022 | 2010 and 2014 | 2010 and 2022 | 2014 and 2026,,,Rectified programmatically
40187,Netherlands,easy,"After Ajax won the 2018-19 domestic double, which two clubs signed their key players?",Barcelona and Juventus,Barcelona and Juventus | Real Madrid and Bayern Munich | Manchester City and PSG | Chelsea and Manchester United,,,Rectified programmatically
2163,Australia,easy,"After Australia's 2022 World Cup, what did their squad undergo?",Significant generational change,Significant generational change | A major tactical shift | A complete coaching overhaul | A sponsorship rebranding,,,Rectified programmatically
4285,Belgium,easy,"After Belgium's 2022 World Cup exit, which two Belgian clubs challenged Club Brugge's domestic dominance?",Royal Antwerp & Union,Royal Antwerp & Union Saint-Gilloise | Anderlecht & Genk | Standard Liège & Gent | KRC Mechelen & Beerschot,,,Rectified programmatically
16574,Côte d'Ivoire,medium,"After Côte d'Ivoire's 2023 AFCON group stage, why were they the host nation?",They were awarded hosting,They were awarded hosting rights | They won qualification playoffs | They received automatic qualification | They replaced disqualified nation,,,Rectified programmatically
17489,Croatia,easy,"After Croatia's 2018 World Cup final, where were emotional celebrations?",Across Croatia,Across Croatia | In Zagreb only | In Moscow only | Across Europe,,,Rectified programmatically
25405,France,easy,"After Euro 2024, which five leagues did France's 2022 World Cup squad players represent?","France, Spain, England, Germany,","France, Spain, England, Germany, Italy | France,  Spain,  England, Portugal, Italy | France,, England, Germany, Netherlands | France, Spain, England, Germany, Portugal",,,Rectified programmatically
29166,Ghana,hard,"After failing to qualify for the 2018 FIFA World Cup, which tournament did Ghana reach next?",2022 FIFA World Cup,2022 FIFA World Cup | 2014 FIFA World Cup | 2010 FIFA World Cup | 2026 FIFA World Cup,,,Rectified programmatically
45525,USA,medium,After failing to qualify for which FIFA World Cup did US Soccer restructure?,2018 World Cup,2018 World Cup | 2014 World Cup | 2022 World Cup | 2010 World Cup,,,Rectified programmatically
